WORD | FILENAME | PROMPT
--------------------------------------------------
Monday | 240.webp | professional photo-illustration, 90% realistic semi-3D render, photorealistic-3D aesthetic, studio lighting, soft shadows, clean background, 8k, sharp focus, single Monday concept rendered as a clean premium 3D object or minimal scene, high quality materials, clean background, avoid: text, letters, logos, complex background

Tuesday | 242.webp | professional photo-illustration, 90% realistic semi-3D render, photorealistic-3D aesthetic, studio lighting, soft shadows, clean background, 8k, sharp focus, single Tuesday concept rendered as a clean premium 3D object or minimal scene, high quality materials, clean background, avoid: text, letters, logos, complex background

a | 063.webp | professional photo-illustration, 90% realistic semi-3D render, photorealistic-3D aesthetic, studio lighting, soft shadows, clean background, 8k, sharp focus, conceptual indefinite selection: several identical objects, one casually chosen without spotlight, avoid: text, letters

afternoon | 247.webp | professional photo-illustration, 90% realistic semi-3D render, photorealistic-3D aesthetic, studio lighting, soft shadows, clean background, 8k, sharp focus, single afternoon concept rendered as a clean premium 3D object or minimal scene, high quality materials, clean background, avoid: text, letters, logos, complex background

again | 262.webp | professional photo-illustration, 90% realistic semi-3D render, photorealistic-3D aesthetic, studio lighting, soft shadows, clean background, 8k, sharp focus, single again concept rendered as a clean premium 3D object or minimal scene, high quality materials, clean background, avoid: text, letters, logos, complex background

all | 260.webp | professional photo-illustration, 90% realistic semi-3D render, photorealistic-3D aesthetic, studio lighting, soft shadows, clean background, 8k, sharp focus, quantity concept: container completely filled with identical objects, avoid: text, letters

am | 004.webp | professional photo-illustration, 90% realistic semi-3D render, photorealistic-3D aesthetic, studio lighting, soft shadows, clean background, 8k, sharp focus, single am concept rendered as a clean premium 3D object or minimal scene, high quality materials, clean background, avoid: text, letters, logos, complex background

answer | 276.webp | professional photo-illustration, 90% realistic semi-3D render, photorealistic-3D aesthetic, studio lighting, soft shadows, clean background, 8k, sharp focus, athletic school-age kid character (age 10-12) performing action: answer, dynamic side-angle, motion blur, warm bokeh, avoid: baby, toddler, static, text, real photo, grainy

bad | 056.webp | professional photo-illustration, 90% realistic semi-3D render, photorealistic-3D aesthetic, studio lighting, soft shadows, clean background, 8k, sharp focus, single bad concept rendered as a clean premium 3D object or minimal scene, high quality materials, clean background, avoid: text, letters, logos, complex background

behind | 308.webp | minimalist 3D studio physics concept, one matte orange box and one shiny blue ball, the ball is behind (partially occluded) the box, clean white background, soft global illumination, 50mm, avoid: text, letters, other objects

buy | 172.webp | professional photo-illustration, 90% realistic semi-3D render, photorealistic-3D aesthetic, studio lighting, soft shadows, clean background, 8k, sharp focus, athletic school-age kid character (age 10-12) performing action: buy, dynamic side-angle, motion blur, warm bokeh, avoid: baby, toddler, static, text, real photo, grainy

bye | 321.webp | professional photo-illustration, 90% realistic semi-3D render, photorealistic-3D aesthetic, studio lighting, soft shadows, clean background, 8k, sharp focus, friendly 3D character waving bye, simple clean framing, avoid: text, letters

call | 161.webp | professional photo-illustration, 90% realistic semi-3D render, photorealistic-3D aesthetic, studio lighting, soft shadows, clean background, 8k, sharp focus, athletic school-age kid character (age 10-12) performing action: call, dynamic side-angle, motion blur, warm bokeh, avoid: baby, toddler, static, text, real photo, grainy

close | 035.webp | professional photo-illustration, 90% realistic semi-3D render, photorealistic-3D aesthetic, studio lighting, soft shadows, clean background, 8k, sharp focus, athletic school-age kid character (age 10-12) performing action: close, dynamic side-angle, motion blur, warm bokeh, avoid: baby, toddler, static, text, real photo, grainy

don't | 019.webp | professional photo-illustration, 90% realistic semi-3D render, photorealistic-3D aesthetic, studio lighting, soft shadows, clean background, 8k, sharp focus, kid stopping an action with open palm, action icon behind is crossed out, avoid: text, letters

easy | 236.webp | professional photo-illustration, 90% realistic semi-3D render, photorealistic-3D aesthetic, studio lighting, soft shadows, clean background, 8k, sharp focus, kid solving a simple puzzle easily, relaxed expression, warm bokeh, avoid: text, letters

feet | 292.webp | professional photo-illustration, 90% realistic semi-3D render, photorealistic-3D aesthetic, studio lighting, soft shadows, clean background, 8k, sharp focus, close-up of feet character part, soft lighting, clean anatomy, avoid: gore, medical diagram, text, real photo

find | 228.webp | professional photo-illustration, 90% realistic semi-3D render, photorealistic-3D aesthetic, studio lighting, soft shadows, clean background, 8k, sharp focus, athletic school-age kid character (age 10-12) performing action: find, dynamic side-angle, motion blur, warm bokeh, avoid: baby, toddler, static, text, real photo, grainy

foot | 291.webp | professional photo-illustration, 90% realistic semi-3D render, photorealistic-3D aesthetic, studio lighting, soft shadows, clean background, 8k, sharp focus, close-up of foot character part, soft lighting, clean anatomy, avoid: gore, medical diagram, text, real photo

four | 083.webp | professional 3D typography design, large glossy number "4" standing on a clean surface, studio lighting, soft shadows, premium material (matte ceramic or polished plastic), 3D render style, clean background, single subject, avoid: text, counting objects, hand

girl | 045.webp | professional photo-illustration, 90% realistic semi-3D render, photorealistic-3D aesthetic, studio lighting, soft shadows, clean background, 8k, sharp focus, cute young girl (age 8) character, smiling, soft cinematic lighting, warm bokeh, 85mm portrait, clean background, avoid: text, logo, bad anatomy, real photo, grainy, photograph

hand | 202.webp | professional photo-illustration, 90% realistic semi-3D render, photorealistic-3D aesthetic, studio lighting, soft shadows, clean background, 8k, sharp focus, close-up of hand character part, soft lighting, clean anatomy, avoid: gore, medical diagram, text, real photo

head | 283.webp | professional photo-illustration, 90% realistic semi-3D render, photorealistic-3D aesthetic, studio lighting, soft shadows, clean background, 8k, sharp focus, close-up of head character part, soft lighting, clean anatomy, avoid: gore, medical diagram, text, real photo

hear | 270.webp | professional photo-illustration, 90% realistic semi-3D render, photorealistic-3D aesthetic, studio lighting, soft shadows, clean background, 8k, sharp focus, athletic school-age kid character (age 10-12) performing action: hear, dynamic side-angle, motion blur, warm bokeh, avoid: baby, toddler, static, text, real photo, grainy

hello | 001.webp | professional photo-illustration, 90% realistic semi-3D render, photorealistic-3D aesthetic, studio lighting, soft shadows, clean background, 8k, sharp focus, friendly 3D character waving hello, warm smile, clean composition, avoid: text, letters, logo

hot | 148.webp | professional photo-illustration, 90% realistic semi-3D render, photorealistic-3D aesthetic, studio lighting, soft shadows, clean background, 8k, sharp focus, steaming mug with heat waves, premium 3D, avoid: text, letters

is | 050.webp | professional photo-illustration, 90% realistic semi-3D render, photorealistic-3D aesthetic, studio lighting, soft shadows, clean background, 8k, sharp focus, single is concept rendered as a clean premium 3D object or minimal scene, high quality materials, clean background, avoid: text, letters, logos, complex background

lose | 229.webp | professional photo-illustration, 90% realistic semi-3D render, photorealistic-3D aesthetic, studio lighting, soft shadows, clean background, 8k, sharp focus, athletic school-age kid character (age 10-12) performing action: lose, dynamic side-angle, motion blur, warm bokeh, avoid: baby, toddler, static, text, real photo, grainy

monkey | 075.webp | professional photo-illustration, 90% realistic semi-3D render, photorealistic-3D aesthetic, studio lighting, soft shadows, clean background, 8k, sharp focus, cute monkey character (living), golden hour side-rim lighting, cinematic medium shot, shallow depth of field, warm color grading, single subject, avoid: text, illustration, food, cooked

month | 255.webp | professional photo-illustration, 90% realistic semi-3D render, photorealistic-3D aesthetic, studio lighting, soft shadows, clean background, 8k, sharp focus, single month concept rendered as a clean premium 3D object or minimal scene, high quality materials, clean background, avoid: text, letters, logos, complex background

next to | 307.webp | minimalist 3D studio physics concept, one matte orange box and one shiny blue ball, the ball is next to the box, clean white background, soft global illumination, 50mm, avoid: text, letters, other objects

ok | 107.webp | professional photo-illustration, 90% realistic semi-3D render, photorealistic-3D aesthetic, studio lighting, soft shadows, clean background, 8k, sharp focus, friendly 3D character making an OK hand gesture, confident smile, avoid: text, letters

put | 111.webp | professional photo-illustration, 90% realistic semi-3D render, photorealistic-3D aesthetic, studio lighting, soft shadows, clean background, 8k, sharp focus, athletic school-age kid character (age 10-12) performing action: put, dynamic side-angle, motion blur, warm bokeh, avoid: baby, toddler, static, text, real photo, grainy

say | 273.webp | professional photo-illustration, 90% realistic semi-3D render, photorealistic-3D aesthetic, studio lighting, soft shadows, clean background, 8k, sharp focus, athletic school-age kid character (age 10-12) performing action: say, dynamic side-angle, motion blur, warm bokeh, avoid: baby, toddler, static, text, real photo, grainy

sure | 296.webp | professional photo-illustration, 90% realistic semi-3D render, photorealistic-3D aesthetic, studio lighting, soft shadows, clean background, 8k, sharp focus, single sure concept rendered as a clean premium 3D object or minimal scene, high quality materials, clean background, avoid: text, letters, logos, complex background

teeth | 294.webp | professional photo-illustration, 90% realistic semi-3D render, photorealistic-3D aesthetic, studio lighting, soft shadows, clean background, 8k, sharp focus, close-up of teeth character part, soft lighting, clean anatomy, avoid: gore, medical diagram, text, real photo

thanks | 018.webp | professional photo-illustration, 90% realistic semi-3D render, photorealistic-3D aesthetic, studio lighting, soft shadows, clean background, 8k, sharp focus, friendly 3D character expressing thanks with hand on chest, warm smile, avoid: text, letters

theirs | 132.webp | professional photo-illustration, 90% realistic semi-3D render, photorealistic-3D aesthetic, studio lighting, soft shadows, clean background, 8k, sharp focus, theirs represented as a friendly 3D character concept (no text labels), soft cinematic lighting, warm bokeh, 85mm portrait, clean background, avoid: text, logo, bad anatomy, real photo, grainy, photograph

tired | 031.webp | professional photo-illustration, 90% realistic semi-3D render, photorealistic-3D aesthetic, studio lighting, soft shadows, clean background, 8k, sharp focus, school-age kid yawning with slumped shoulders, warm bokeh, avoid: text, letters

toilet paper | 207.webp | professional photo-illustration, 90% realistic semi-3D render, photorealistic-3D aesthetic, studio lighting, soft shadows, clean background, 8k, sharp focus, single toilet paper concept rendered as a clean premium 3D object or minimal scene, high quality materials, clean background, avoid: text, letters, logos, complex background

tomato | 187.webp | professional commercial food photography, 90% realistic, delicious appetizing single tomato, fresh ingredients, soft studio lighting, macro details, shallow depth of field, 45-degree angle, clean background, avoid: cartoon, plastic, text

tomorrow | 241.webp | professional photo-illustration, 90% realistic semi-3D render, photorealistic-3D aesthetic, studio lighting, soft shadows, clean background, 8k, sharp focus, minimal calendar card with an arrow to the next day block (no text), premium 3D, avoid: text, letters

turn off | 267.webp | professional photo-illustration, 90% realistic semi-3D render, photorealistic-3D aesthetic, studio lighting, soft shadows, clean background, 8k, sharp focus, athletic school-age kid character (age 10-12) performing action: turn off, dynamic side-angle, motion blur, warm bokeh, avoid: baby, toddler, static, text, real photo, grainy

turn on | 266.webp | professional photo-illustration, 90% realistic semi-3D render, photorealistic-3D aesthetic, studio lighting, soft shadows, clean background, 8k, sharp focus, athletic school-age kid character (age 10-12) performing action: turn on, dynamic side-angle, motion blur, warm bokeh, avoid: baby, toddler, static, text, real photo, grainy

use | 233.webp | professional photo-illustration, 90% realistic semi-3D render, photorealistic-3D aesthetic, studio lighting, soft shadows, clean background, 8k, sharp focus, athletic school-age kid character (age 10-12) performing action: use, dynamic side-angle, motion blur, warm bokeh, avoid: baby, toddler, static, text, real photo, grainy

wait | 108.webp | professional photo-illustration, 90% realistic semi-3D render, photorealistic-3D aesthetic, studio lighting, soft shadows, clean background, 8k, sharp focus, athletic school-age kid character (age 10-12) performing action: wait, dynamic side-angle, motion blur, warm bokeh, avoid: baby, toddler, static, text, real photo, grainy

week | 254.webp | professional photo-illustration, 90% realistic semi-3D render, photorealistic-3D aesthetic, studio lighting, soft shadows, clean background, 8k, sharp focus, single week concept rendered as a clean premium 3D object or minimal scene, high quality materials, clean background, avoid: text, letters, logos, complex background

weekend | 257.webp | professional photo-illustration, 90% realistic semi-3D render, photorealistic-3D aesthetic, studio lighting, soft shadows, clean background, 8k, sharp focus, single weekend concept rendered as a clean premium 3D object or minimal scene, high quality materials, clean background, avoid: text, letters, logos, complex background

what | 015.webp | professional photo-illustration, 90% realistic semi-3D render, photorealistic-3D aesthetic, studio lighting, soft shadows, clean background, 8k, sharp focus, character with puzzled expression and abstract question bubble, avoid: text, letters

who | 046.webp | professional photo-illustration, 90% realistic semi-3D render, photorealistic-3D aesthetic, studio lighting, soft shadows, clean background, 8k, sharp focus, small group of three characters with one subtly spotlighted (identity question), avoid: text, letters

yesterday | 243.webp | professional photo-illustration, 90% realistic semi-3D render, photorealistic-3D aesthetic, studio lighting, soft shadows, clean background, 8k, sharp focus, minimal calendar card with an arrow to the previous day block (no text), premium 3D, avoid: text, letters

yours | 120.webp | professional photo-illustration, 90% realistic semi-3D render, photorealistic-3D aesthetic, studio lighting, soft shadows, clean background, 8k, sharp focus, yours represented as a friendly 3D character concept (no text labels), soft cinematic lighting, warm bokeh, 85mm portrait, clean background, avoid: text, logo, bad anatomy, real photo, grainy, photograph
