id,english,turkish,image_file,audio_en_file,audio_tr_file
1,hello,merhaba,001.webp,ing_001.mp3,tr_001.mp3
2,hi,selam,hi.webp,ing_002.mp3,tr_002.mp3
3,I,ben,I.webp,ing_003.mp3,tr_003.mp3
4,am,olmak,004.webp,ing_004.mp3,tr_004.mp3
5,you,sen,you.webp,ing_005.mp3,tr_005.mp3
6,want,istemek,want.webp,ing_006.mp3,tr_006.mp3
7,water,su,water.webp,ing_007.mp3,tr_007.mp3
8,food,yiyecek,food.webp,ing_008.mp3,tr_008.mp3
9,yes,evet,yes.webp,ing_009.mp3,tr_009.mp3
10,no,hayır,no.webp,ing_010.mp3,tr_010.mp3
11,please,lütfen,please.webp,ing_011.mp3,tr_011.mp3
12,not,değil,not.webp,ing_012.mp3,tr_012.mp3
13,me,bana,me.webp,ing_013.mp3,tr_013.mp3
14,this,bu,this.webp,ing_014.mp3,tr_014.mp3
15,what,ne,015.webp,ing_015.mp3,tr_015.mp3
16,give,vermek,give.webp,ing_016.mp3,tr_016.mp3
17,take,almak,take.webp,ing_017.mp3,tr_017.mp3
18,thanks,teşekkürler,018.webp,ing_018.mp3,tr_018.mp3
19,don't,yapma,019.webp,ing_019.mp3,tr_019.mp3
20,go,gitmek,go.webp,ing_020.mp3,tr_020.mp3
21,to,ye/ya (yönelme),to.webp,ing_021.mp3,tr_021.mp3
22,home,ev,home.webp,ing_022.mp3,tr_022.mp3
23,come,gelmek,come.webp,ing_023.mp3,tr_023.mp3
24,here,burada,here.webp,ing_024.mp3,tr_024.mp3
25,where,nerede,where.webp,ing_025.mp3,tr_025.mp3
26,there,orada,there.webp,ing_026.mp3,tr_026.mp3
27,stay,kalmak,stay.webp,ing_027.mp3,tr_027.mp3
28,house,ev,house.webp,ing_028.mp3,tr_028.mp3
29,bed,yatak,bed.webp,ing_029.mp3,tr_029.mp3
30,sleep,uyumak,sleep.webp,ing_030.mp3,tr_030.mp3
31,tired,yorgun,031.webp,ing_031.mp3,tr_031.mp3
32,open,açık,open.webp,ing_032.mp3,tr_032.mp3
33,the,bilinen (tanımlık),the.webp,ing_033.mp3,tr_033.mp3
34,door,kapı,door.webp,ing_034.mp3,tr_034.mp3
35,close,kapatmak,035.webp,ing_035.mp3,tr_035.mp3
36,window,pencere,window.webp,ing_036.mp3,tr_036.mp3
